Kendall Marshall	PG	LAL	54	45	29.0	8.0	3.1	7.8	40.6	1.3	1.3	39.9	0.4	0.7	52.8
Jeff Taylor	SF	CHA	26	8	24.2	8.0	3.2	8.4	37.6	0.7	0.7	26.9	1.0	1.8	55.3
Derrick Williams	PF	SAC	78	15	23.3	8.0	2.6	6.2	42.7	0.3	0.3	26.3	2.4	3.3	71.8
Michael Beasley	PF	MIA	55	2	15.1	7.9	3.2	6.5	49.9	0.4	0.4	38.9	1.1	1.4	77.2
Devin Harris	PG	DAL	40	0	20.4	7.9	2.4	6.4	37.8	0.8	0.8	30.7	2.3	2.9	80.0
Jermaine O'Neal	C	GS	44	13	20.1	7.9	2.8	5.6	50.4	0.0	0.0	0.0	2.2	3.0	75.0
Zaza Pachulia	C	MIL	53	43	25.0	7.7	2.8	6.6	42.7	0.0	0.0	0.0	2.1	2.5	84.6
Austin Rivers	SG	NO	69	4	19.4	7.7	2.8	6.9	40.5	0.5	0.5	36.4	1.6	2.5	63.6
Larry Sanders	C	MIL	23	20	25.4	7.7	3.3	7.0	46.9	0.0	0.0	0.0	1.1	2.4	47.3
Luis Scola	PF	IND	82	2	17.1	7.6	3.2	6.8	47.0	0.0	0.0	14.3	1.2	1.7	72.8
Henry Sims	C	PHI	46	25	19.0	7.6	2.8	6.0	47.4	0.0	0.0	0.0	2.0	2.6	74.4
Leandro Barbosa	SG	PHO	20	0	18.4	7.5	2.8	6.6	42.7	0.4	0.4	28.0	1.6	2.0	79.5
Shelvin Mack	PG	ATL	73	11	20.4	7.5	2.9	6.9	41.7	0.8	0.8	33.7	0.9	1.0	86.5
Maurice Harkless	SF	ORL	80	41	24.4	7.4	2.8	6.0	46.4	0.7	0.7	38.3	1.1	1.8	59.4
James Johnson	PF	MEM	52	4	18.4	7.4	2.8	5.9	46.4	0.4	0.4	25.3	1.5	1.7	84.4
Mason Plumlee	PF	BKN	70	22	18.2	7.4	2.8	4.3	65.9	0.0	0.0	0.0	1.7	2.8	62.6
Andrew Bogut	C	GS	67	67	26.4	7.3	3.5	5.6	62.7	0.0	0.0	0.0	0.3	1.0	34.4
Al-Farouq Aminu	SF	NO	80	65	25.6	7.2	2.9	6.2	47.4	0.2	0.2	27.1	1.1	1.7	66.4
Alan Anderson	SF	BKN	78	26	22.7	7.2	2.5	6.2	40.0	1.1	1.1	33.9	1.2	1.5	78.0
Michael Kidd-Gilchrist	SF	CHA	62	62	24.2	7.2	2.7	5.7	47.3	0.0	0.0	11.1	1.8	3.0	61.4
Nate Wolters	PG	MIL	58	31	22.6	7.2	2.9	6.7	43.7	0.3	0.3	29.0	1.0	1.6	65.6
Mike Miller	SF	MEM	82	4	20.8	7.1	2.6	5.4	48.1	1.3	1.3	45.9	0.6	0.7	82.1
Jason Thompson	PF	SAC	82	61	24.5	7.1	3.1	6.0	50.6	0.0	0.0	0.0	1.0	1.8	57.9
Pero Antic	C	ATL	50	26	18.5	7.0	2.5	5.9	41.8	1.1	1.1	32.7	1.0	1.3	75.8
JaVale McGee	C	DEN	5	5	16.0	7.0	3.4	7.6	44.7	0.0	0.0	0.0	0.2	0.2	100.0
Steve Blake	PG	GS	55	28	27.2	6.9	2.4	6.4	37.7	1.4	1.4	37.6	0.6	0.8	76.7
Omri Casspi	SF	HOU	71	2	18.1	6.9	2.4	5.8	42.2	0.9	0.9	34.7	1.2	1.7	68.0
Chris Douglas-Roberts	SG	CHA	49	8	20.7	6.9	2.3	5.1	44.0	1.0	1.0	38.6	1.3	1.7	80.5
Jared Dudley	SF	LAC	74	43	23.4	6.9	2.6	6.0	43.8	1.1	1.1	36.0	0.5	0.8	65.5
Jeff Adrien	PF	MIL	53	12	18.2	6.8	2.7	5.2	52.0	0.0	0.0	0.0	1.4	2.2	63.9
Giannis Antetokounmpo	SG	MIL	77	23	24.6	6.8	2.2	5.4	41.4	0.5	0.5	34.7	1.8	2.6	68.3
Trevor Booker	PF	WAS	72	45	21.6	6.8	3.1	5.6	55.1	0.0	0.0	0.0	0.7	1.1	61.8
Steve Nash	PG	LAL	15	10	20.9	6.8	2.4	6.3	38.3	0.5	0.5	33.3	1.5	1.6	91.7
Chase Budinger	SF	MIN	41	8	18.3	6.7	2.4	6.2	39.4	1.0	1.0	35.0	0.8	1.0	82.1
Jordan Hamilton	SF	HOU	60	12	17.0	6.7	2.4	6.3	39.1	1.2	1.2	35.4	0.7	0.8	78.4
Iman Shumpert	SG	NY	74	58	26.5	6.7	2.5	6.5	37.8	1.0	1.0	33.3	0.7	1.0	74.6
Chris Andersen	PF	MIA	72	0	19.4	6.6	2.5	3.8	64.4	0.0	0.0	25.0	1.7	2.3	71.0
Samuel Dalembert	C	DAL	80	68	20.2	6.6	2.7	4.7	56.8	0.0	0.0	0.0	1.3	1.7	73.7
Al Harrington	PF	WAS	34	0	15.0	6.6	2.4	6.1	39.6	1.0	1.0	34.0	0.8	1.0	77.1
